HOTELCODE,ACCOUNTCODE,CREATEDDATE,CHECKINDATE,CHECKOUTDATE,CANCELLATIONDATE,LASTMODIFIED,BOOKINGSTATUS,BOOKINGREFERENCE,ROOMNIGHTS,PRICE,COST,CURRENCY
CAQ246100,CVB003,15/03/2014,02/01/2015,09/01/2015,27/03/2014,21/07/2016 09:26,Cancelled,E01872913,7,577.66,529,EUR
CAK196400,CDR001,24/04/2014,13/03/2015,14/03/2015,30/04/2014,21/07/2016 09:26,Cancelled,E02026045,1,69.3,61.11,EUR
CAK196400,CDR001,24/04/2014,13/03/2015,14/03/2015,30/04/2014,21/07/2016 09:26,Cancelled,E02025784,1,69.3,61.11,EUR
CAK576300,QVU001,13/05/2014,31/01/2015,01/02/2015,13/05/2014,21/07/2016 09:26,Cancelled,E02090462,1,74.26,68,EUR
CAH696700,FTK001,15/05/2014,16/01/2015,19/01/2015,15/05/2014,21/07/2016 09:26,Cancelled,E02096138,3,150.69,138,EUR
CAH696700,FTK001,15/05/2014,16/01/2015,19/01/2015,15/05/2014,21/07/2016 09:26,Cancelled,E02097205,3,150.69,138,EUR
CAH696700,FTK001,15/05/2014,16/01/2015,19/01/2015,15/05/2014,21/07/2016 09:26,Cancelled,E02095658,3,150.69,138,EUR
CAF489100,GET001,23/06/2014,24/01/2015,25/01/2015,23/06/2014,21/07/2016 09:26,Cancelled,E02227794,1,51.05,46.75,EUR
CAH696700,GET001,14/07/2014,24/01/2015,26/01/2015,14/07/2014,21/07/2016 09:26,Cancelled,E02295751,2,102.82,96,EUR
CAF489100,PRE004,25/07/2014,20/03/2015,23/03/2015,25/07/2014,21/07/2016 09:26,Cancelled,E02337991,3,119.1,106,EUR
CAF489100,RUO001,27/07/2014,20/03/2015,23/03/2015,28/07/2014,21/07/2016 09:26,Cancelled,E02342327,6,374.24,324,EUR
CAH529700,RXL001,15/08/2014,15/04/2015,22/04/2015,15/08/2014,21/07/2016 09:26,Cancelled,C00186677,7,1328.95,1234.8,EUR
CAH785100,HSU001,25/08/2014,20/01/2015,21/01/2015,25/08/2014,21/07/2016 09:26,Cancelled,E02459983,1,48.67,45,EUR
CAF983600,JUR001,26/08/2014,11/01/2015,13/01/2015,26/08/2014,21/07/2016 09:26,Cancelled,E02466378,2,164.94,154,EUR
CAF393200,NRL001,14/07/2014,02/02/2015,06/02/2015,28/08/2014,21/07/2016 09:26,Cancelled,E02296346,4,321.32,300,EUR
CAL493700,OOL001,27/08/2014,13/03/2015,18/03/2015,29/08/2014,21/07/2016 09:26,Cancelled,E02470162,5,353.89,315,EUR
CAH696700,GET001,31/07/2014,15/01/2015,16/01/2015,29/08/2014,21/07/2016 09:26,Cancelled,E02361059,1,51.41,48,EUR
CAH696700,GET001,31/07/2014,04/01/2015,05/01/2015,30/08/2014,21/07/2016 09:26,Cancelled,E02363089,1,51.41,48,EUR
CAK196400,CDR001,30/08/2014,28/02/2015,01/03/2015,31/08/2014,21/07/2016 09:26,Cancelled,E02476684,2,107.1,100,EUR
CAH785100,URS001,31/08/2014,28/02/2015,01/03/2015,02/09/2014,21/07/2016 09:26,Cancelled,E02482366,2,103.82,96,EUR
CAH696700,GET001,04/09/2014,06/03/2015,07/03/2015,04/09/2014,21/07/2016 09:26,Cancelled,E02502117,1,53.42,48,EUR
CAF394700,BOK001,06/09/2014,03/01/2015,14/01/2015,06/09/2014,21/07/2016 09:26,Cancelled,E02507229,11,829.64,749.52,EUR
CAF489000,RHD005,09/09/2014,26/01/2015,28/01/2015,09/09/2014,21/07/2016 09:26,Cancelled,E02517798,2,203.5,190,EUR
CAK965700,JUR001,13/07/2014,11/01/2015,16/01/2015,10/09/2014,21/07/2016 09:26,Cancelled,E02294653,5,257.05,240,EUR
CAM971000,TJE002,10/09/2014,25/02/2015,28/02/2015,11/09/2014,21/07/2016 09:26,Cancelled,E02522038,6,259.58,240,EUR
CAM971000,TJE002,11/09/2014,25/02/2015,27/02/2015,11/09/2014,21/07/2016 09:26,Cancelled,E02527651,4,173.05,160,EUR
CAL404900,VES002,15/07/2014,04/01/2015,05/01/2015,14/09/2014,21/07/2016 09:26,Cancelled,E02300524,1,58.91,55,EUR
CAK184800,PMM002,15/09/2014,20/01/2015,22/01/2015,15/09/2014,21/07/2016 09:26,Cancelled,E02544258,2,216.22,198,EUR
CAO553800,KAH003,27/07/2014,17/02/2015,22/02/2015,15/09/2014,21/07/2016 09:26,Cancelled,E02342721,5,1103.2,1060.4,EUR
CAF552100,EZE003,02/09/2014,14/05/2015,17/05/2015,15/09/2014,21/07/2016 09:26,Cancelled,C00197294,3,437.34,406.35,EUR
CAM967500,HAP001,25/08/2014,23/03/2015,27/03/2015,18/09/2014,21/07/2016 09:26,Cancelled,E02460115,4,210.6,184,EUR
CAF392800,GTP001,08/09/2014,23/07/2015,27/07/2015,18/09/2014,21/07/2016 09:26,Cancelled,E02514252,4,1399.4,1288,EUR
CAF489100,URS001,10/07/2014,03/01/2015,06/01/2015,23/09/2014,21/07/2016 09:26,Cancelled,E02286331,3,111.38,104,EUR
CAF489100,DRL001,18/07/2014,20/02/2015,23/02/2015,23/09/2014,21/07/2016 09:26,Cancelled,E02312640,3,116.87,106,EUR
CAF489000,RHD005,23/09/2014,20/01/2015,22/01/2015,23/09/2014,21/07/2016 09:26,Cancelled,E02574068,2,203.5,190,EUR
CAM967500,GET001,23/09/2014,27/03/2015,28/03/2015,23/09/2014,21/07/2016 09:26,Cancelled,E02579533,1,49.27,46,EUR
CAF489000,RHD005,24/09/2014,20/01/2015,22/01/2015,24/09/2014,21/07/2016 09:26,Cancelled,E02581589,2,203.5,190,EUR
CAF489000,PMM002,24/09/2014,20/01/2015,22/01/2015,24/09/2014,21/07/2016 09:26,Cancelled,E02585029,2,207.48,190,EUR
CAL822900,GET001,25/09/2014,02/05/2015,03/05/2015,25/09/2014,21/07/2016 09:26,Cancelled,E02588730,1,86.61,79.31,EUR
CAF489000,PMM002,26/09/2014,20/01/2015,22/01/2015,26/09/2014,21/07/2016 09:26,Cancelled,E02592930,2,207.48,190,EUR
CAF489100,PRE004,24/09/2014,20/03/2015,24/03/2015,28/09/2014,21/07/2016 09:26,Cancelled,E02587623,8,453.93,428,EUR
CAG671700,GET001,29/09/2014,04/05/2015,05/05/2015,29/09/2014,21/07/2016 09:26,Cancelled,E02604196,1,78.62,72,EUR
CAL404900,LCG001,12/09/2014,09/01/2015,10/01/2015,30/09/2014,21/07/2016 09:26,Cancelled,E02535801,4,233.32,220,EUR
CAF489100,PRE004,30/09/2014,19/03/2015,24/03/2015,01/10/2014,21/07/2016 09:26,Cancelled,E02612240,10,466.65,440,EUR
CAF489100,FCT001,11/08/2014,10/01/2015,13/01/2015,01/10/2014,21/07/2016 09:26,Cancelled,E02400518,3,175.3,159,EUR
CAF489000,OOT005,30/09/2014,04/09/2015,06/09/2015,01/10/2014,21/07/2016 09:26,Cancelled,E02602833,2,274.44,251.32,EUR
CAF489000,RHD005,02/10/2014,20/01/2015,22/01/2015,02/10/2014,21/07/2016 09:26,Cancelled,E02615730,2,203.5,190,EUR
CAF489000,PMM002,03/10/2014,20/01/2015,22/01/2015,03/10/2014,21/07/2016 09:26,Cancelled,E02618879,2,207.48,190,EUR
CAK196400,URS002,31/08/2014,28/02/2015,01/03/2015,05/10/2014,21/07/2016 09:26,Cancelled,E02482786,2,107.1,100,EUR
CAK196400,PMM002,07/10/2014,02/01/2015,04/01/2015,07/10/2014,21/07/2016 09:26,Cancelled,E02638335,2,109.2,100,EUR
CAF392800,PMM002,08/10/2014,18/03/2015,21/03/2015,08/10/2014,21/07/2016 09:26,Cancelled,E02638589,3,846.87,810,EUR
CAF395100,PMM002,08/10/2014,19/02/2015,21/02/2015,08/10/2014,21/07/2016 09:26,Cancelled,E02638345,2,186.74,171,EUR
CAL038300,JUR001,19/09/2014,01/05/2015,15/05/2015,08/10/2014,21/07/2016 09:26,Cancelled,E02566526,14,605.42,540.9,EUR
CAL493900,INT001,09/10/2014,20/01/2015,22/01/2015,09/10/2014,21/07/2016 09:26,Cancelled,E02649474,2,148.48,140,EUR
CAF489100,DWO001,15/03/2014,03/01/2015,08/01/2015,10/10/2014,21/07/2016 09:26,Cancelled,E01871475,5,287.18,263,EUR
CAM971000,PRE004,26/09/2014,02/03/2015,05/03/2015,13/10/2014,21/07/2016 09:26,Cancelled,E02595975,3,612.36,540,EUR
